session_id,total_clicks,avg_price,total_spent,max_price,min_price,unique_pages,max_page,country,unique_products,unique_categories,product_exploration_ratio,page_progression_ratio,conversion,revenue
42,1,43.0,43,43,43,1,1,29,1,1,1.0,1.0,0,43
43,20,52.25,1045,62,38,2,2,9,11,1,0.55,1.0,0,1045
44,9,49.22222222222222,443,67,33,3,4,9,9,3,1.0,1.3333333333333333,0,443
45,3,43.666666666666664,131,60,33,2,2,12,3,1,1.0,1.0,0,131
46,1,62.0,62,62,62,1,1,9,1,1,1.0,1.0,0,62
47,4,48.75,195,67,33,2,3,29,4,2,1.0,1.5,0,195
48,3,38.0,114,38,38,1,1,29,3,2,1.0,1.0,0,114
49,27,45.111111111111114,1218,82,20,4,4,9,27,3,1.0,1.0,0,1218
50,4,48.75,195,62,38,1,2,29,4,1,1.0,2.0,0,195
51,4,58.5,234,72,28,1,1,9,3,1,0.75,1.0,0,234
52,9,42.77777777777778,385,67,28,1,1,38,8,3,0.8888888888888888,1.0,0,385
53,2,35.5,71,43,28,1,1,9,2,1,1.0,1.0,0,71
54,3,39.666666666666664,119,43,38,1,1,29,3,1,1.0,1.0,0,119
55,7,40.142857142857146,281,48,28,1,1,29,6,2,0.8571428571428571,1.0,0,281
56,7,39.57142857142857,277,60,23,2,2,29,7,4,1.0,1.0,0,277
57,3,33.0,99,43,28,2,4,41,3,1,1.0,2.0,0,99
58,4,44.0,176,62,33,2,2,29,4,2,1.0,1.0,0,176
59,1,55.0,55,55,55,1,3,24,1,1,1.0,3.0,0,55
60,6,47.5,285,57,33,1,1,21,5,3,0.8333333333333334,1.0,0,285
61,4,48.75,195,67,33,2,2,24,4,2,1.0,1.0,0,195
63,4,36.75,147,48,23,1,1,9,4,1,1.0,1.0,0,147
64,13,56.53846153846154,735,67,38,2,2,24,10,1,0.7692307692307693,1.0,0,735
65,3,50.0,150,62,28,2,2,24,3,1,1.0,1.0,0,150
66,2,38.0,76,38,38,1,1,24,2,2,1.0,1.0,0,76
67,17,46.94117647058823,798,82,33,3,4,24,17,3,1.0,1.3333333333333333,0,798
68,1,43.0,43,43,43,1,1,24,1,1,1.0,1.0,0,43
69,11,48.18181818181818,530,57,28,4,4,24,11,3,1.0,1.0,0,530
70,3,50.666666666666664,152,57,38,1,2,41,3,1,1.0,2.0,0,152
71,1,33.0,33,33,33,1,1,9,1,1,1.0,1.0,0,33
72,1,48.0,48,48,48,1,1,29,1,1,1.0,1.0,0,48
73,1,38.0,38,38,38,1,2,29,1,1,1.0,2.0,0,38
74,6,38.0,228,48,28,3,3,29,6,2,1.0,1.0,0,228
75,1,52.0,52,52,52,1,1,29,1,1,1.0,1.0,0,52
76,10,40.5,405,48,28,5,5,29,9,3,0.9,1.0,1,405
77,4,46.25,185,52,38,1,1,29,4,1,1.0,1.0,0,185
78,1,33.0,33,33,33,1,2,9,1,1,1.0,2.0,0,33
79,10,37.4,374,72,28,2,2,29,10,2,1.0,1.0,0,374
80,2,38.0,76,43,33,1,1,29,2,2,1.0,1.0,0,76
81,5,46.6,233,67,38,1,1,29,4,1,0.8,1.0,0,233
82,7,45.57142857142857,319,62,28,2,3,29,7,4,1.0,1.5,0,319
83,8,42.375,339,48,33,1,1,29,7,2,0.875,1.0,0,339
84,4,52.5,210,67,38,2,2,9,4,2,1.0,1.0,0,210
85,1,28.0,28,28,28,1,1,24,1,1,1.0,1.0,0,28
86,10,37.0,370,62,20,3,3,24,10,3,1.0,1.0,0,370
87,4,44.0,176,62,33,1,1,41,4,2,1.0,1.0,0,176
88,4,41.75,167,48,33,1,1,29,4,2,1.0,1.0,0,167
89,1,50.0,50,50,50,1,2,29,1,1,1.0,2.0,0,50
90,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
91,4,47.75,191,67,28,1,1,29,4,3,1.0,1.0,0,191
92,1,38.0,38,38,38,1,2,24,1,1,1.0,2.0,0,38
94,9,44.44444444444444,400,57,28,4,5,29,9,3,1.0,1.25,1,400
95,2,48.0,96,48,48,1,4,9,2,1,1.0,4.0,0,96
96,5,48.4,242,57,38,3,4,9,5,3,1.0,1.3333333333333333,0,242
97,1,43.0,43,43,43,1,1,21,1,1,1.0,1.0,0,43
98,1,28.0,28,28,28,1,1,21,1,1,1.0,1.0,0,28
99,9,46.55555555555556,419,62,38,2,2,29,8,2,0.8888888888888888,1.0,0,419
100,10,37.5,375,48,28,1,1,29,10,3,1.0,1.0,0,375
101,1,57.0,57,57,57,1,1,29,1,1,1.0,1.0,0,57
102,4,41.75,167,48,33,1,1,29,3,3,0.75,1.0,0,167
103,3,38.0,114,38,38,1,1,9,2,1,0.6666666666666666,1.0,0,114
104,3,60.333333333333336,181,67,52,1,1,29,3,1,1.0,1.0,0,181
105,1,67.0,67,67,67,1,1,29,1,1,1.0,1.0,0,67
106,2,51.5,103,65,38,1,1,29,2,1,1.0,1.0,0,103
107,20,37.15,743,62,23,4,4,29,18,4,0.9,1.0,0,743
108,2,38.0,76,38,38,1,1,29,2,1,1.0,1.0,0,76
109,3,47.666666666666664,143,62,38,2,2,29,3,2,1.0,1.0,0,143
110,4,40.5,162,43,33,4,4,29,4,1,1.0,1.0,0,162
111,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
112,6,44.333333333333336,266,62,33,2,2,29,6,3,1.0,1.0,0,266
113,7,49.0,343,62,28,2,2,24,6,3,0.8571428571428571,1.0,0,343
114,2,38.0,76,48,28,2,2,24,2,1,1.0,1.0,0,76
115,2,35.5,71,38,33,2,4,9,2,2,1.0,2.0,0,71
116,2,50.0,100,62,38,2,3,9,2,1,1.0,1.5,0,100
118,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
119,8,47.0,376,62,28,2,3,9,8,3,1.0,1.5,0,376
120,6,53.833333333333336,323,62,38,2,2,9,5,2,0.8333333333333334,1.0,0,323
121,8,36.75,294,48,28,2,3,29,6,3,0.75,1.5,0,294
122,3,39.666666666666664,119,43,38,1,1,29,3,2,1.0,1.0,0,119
123,7,35.857142857142854,251,43,23,2,2,29,7,2,1.0,1.0,0,251
124,7,44.0,308,62,28,3,4,29,7,4,1.0,1.3333333333333333,0,308
125,34,46.294117647058826,1574,67,20,3,3,29,33,4,0.9705882352941176,1.0,0,1574
126,2,38.0,76,48,28,1,1,29,2,1,1.0,1.0,0,76
127,5,40.4,202,50,33,2,2,29,4,2,0.8,1.0,0,202
128,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
130,4,39.25,157,43,33,3,3,29,4,1,1.0,1.0,0,157
131,2,40.5,81,48,33,1,1,29,2,1,1.0,1.0,0,81
132,5,48.4,242,67,23,1,1,29,5,3,1.0,1.0,0,242
133,4,56.0,224,67,48,1,1,29,4,1,1.0,1.0,0,224
134,1,43.0,43,43,43,1,1,29,1,1,1.0,1.0,0,43
135,4,36.75,147,38,33,2,3,29,4,2,1.0,1.5,0,147
136,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
137,3,41.333333333333336,124,43,38,1,1,29,3,1,1.0,1.0,0,124
138,12,46.75,561,62,23,4,5,29,8,2,0.6666666666666666,1.25,1,561
139,6,51.666666666666664,310,72,38,1,1,29,5,3,0.8333333333333334,1.0,0,310
140,2,35.5,71,43,28,1,1,29,2,2,1.0,1.0,0,71
141,4,34.25,137,48,23,1,1,29,4,2,1.0,1.0,0,137
142,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
143,4,45.25,181,57,33,3,4,29,4,2,1.0,1.3333333333333333,0,181
144,2,38.0,76,38,38,2,3,29,2,1,1.0,1.5,0,76
145,3,61.333333333333336,184,72,50,2,2,29,3,2,1.0,1.0,0,184
146,12,49.333333333333336,592,72,28,2,2,29,8,3,0.6666666666666666,1.0,0,592
147,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
148,5,49.6,248,67,38,2,2,29,5,1,1.0,1.0,0,248
149,4,40.5,162,43,38,1,1,29,4,2,1.0,1.0,0,162
151,1,23.0,23,23,23,1,1,29,1,1,1.0,1.0,0,23
152,4,40.5,162,48,33,1,1,29,4,2,1.0,1.0,0,162
153,6,37.333333333333336,224,67,20,3,3,29,5,4,0.8333333333333334,1.0,0,224
154,3,54.0,162,62,48,2,2,29,3,2,1.0,1.0,0,162
155,2,47.5,95,62,33,1,1,29,2,1,1.0,1.0,0,95
157,22,40.31818181818182,887,62,28,4,4,29,21,4,0.9545454545454546,1.0,0,887
158,1,38.0,38,38,38,1,2,29,1,1,1.0,2.0,0,38
159,2,47.5,95,62,33,2,3,29,2,2,1.0,1.5,0,95
160,3,43.0,129,48,38,3,4,29,3,1,1.0,1.3333333333333333,0,129
161,1,33.0,33,33,33,1,1,29,1,1,1.0,1.0,0,33
162,4,31.75,127,38,23,2,3,29,3,1,0.75,1.5,0,127
163,3,36.333333333333336,109,48,28,1,1,29,3,1,1.0,1.0,0,109
164,2,35.5,71,43,28,2,3,29,2,1,1.0,1.5,0,71
165,4,49.75,199,57,33,2,2,29,4,2,1.0,1.0,0,199
166,1,38.0,38,38,38,1,2,29,1,1,1.0,2.0,0,38
167,3,41.333333333333336,124,48,28,1,1,44,3,1,1.0,1.0,0,124
168,33,43.21212121212121,1426,57,18,4,4,34,25,2,0.7575757575757576,1.0,0,1426
169,1,67.0,67,67,67,1,1,29,1,1,1.0,1.0,0,67
170,8,48.125,385,62,33,2,2,29,8,2,1.0,1.0,0,385
171,6,47.0,282,62,33,1,1,29,5,2,0.8333333333333334,1.0,0,282
172,3,55.666666666666664,167,67,43,2,2,29,3,1,1.0,1.0,0,167
173,21,45.19047619047619,949,67,28,2,2,29,18,3,0.8571428571428571,1.0,0,949
174,10,40.0,400,48,28,3,3,29,7,1,0.7,1.0,0,400
175,1,57.0,57,57,57,1,1,29,1,1,1.0,1.0,0,57
176,1,67.0,67,67,67,1,1,29,1,1,1.0,1.0,0,67
177,3,41.333333333333336,124,48,38,2,2,29,3,2,1.0,1.0,0,124
179,3,57.0,171,62,52,2,2,29,3,1,1.0,1.0,0,171
180,1,33.0,33,33,33,1,1,29,1,1,1.0,1.0,0,33
181,11,43.36363636363637,477,62,23,5,5,29,10,4,0.9090909090909091,1.0,1,477
182,8,33.0,264,43,23,1,1,29,7,1,0.875,1.0,0,264
183,16,47.0,752,82,28,1,1,29,16,3,1.0,1.0,0,752
184,36,40.52777777777778,1459,62,20,4,4,29,36,3,1.0,1.0,0,1459
185,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
186,7,32.142857142857146,225,52,20,4,4,29,7,2,1.0,1.0,0,225
187,8,35.5,284,43,28,2,3,29,8,2,1.0,1.5,0,284
188,15,45.06666666666667,676,82,28,2,2,29,12,2,0.8,1.0,0,676
189,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
190,4,34.75,139,48,20,2,3,29,4,2,1.0,1.5,0,139
191,1,57.0,57,57,57,1,4,29,1,1,1.0,4.0,0,57
192,15,50.4,756,82,28,3,3,29,15,3,1.0,1.0,0,756
193,5,43.8,219,62,28,2,2,29,5,2,1.0,1.0,0,219
194,9,36.888888888888886,332,48,23,3,3,29,9,3,1.0,1.0,0,332
195,5,37.0,185,38,33,2,4,29,5,3,1.0,2.0,0,185
196,27,41.407407407407405,1118,67,23,4,4,29,26,3,0.9629629629629629,1.0,0,1118
197,6,45.166666666666664,271,62,33,1,1,9,6,3,1.0,1.0,0,271
198,5,46.8,234,57,38,1,1,29,5,3,1.0,1.0,0,234
199,1,48.0,48,48,48,1,1,29,1,1,1.0,1.0,0,48
200,6,42.333333333333336,254,82,20,2,3,29,6,2,1.0,1.5,0,254
201,22,39.04545454545455,859,62,20,4,4,29,19,4,0.8636363636363636,1.0,0,859
202,3,57.0,171,67,52,1,1,29,3,1,1.0,1.0,0,171
203,2,38.0,76,38,38,1,1,29,2,1,1.0,1.0,0,76
204,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
205,2,47.5,95,57,38,2,2,29,2,1,1.0,1.0,0,95
206,8,47.0,376,62,33,2,2,29,8,2,1.0,1.0,0,376
207,10,41.4,414,52,23,1,1,29,9,4,0.9,1.0,0,414
208,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
209,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
210,8,40.25,322,62,28,1,1,29,8,2,1.0,1.0,0,322
211,15,43.733333333333334,656,82,20,3,3,29,15,3,1.0,1.0,0,656
212,20,36.75,735,48,23,4,4,29,16,3,0.8,1.0,0,735
213,9,47.0,423,62,28,2,2,29,8,4,0.8888888888888888,1.0,0,423
214,5,50.4,252,52,48,1,1,29,3,1,0.6,1.0,0,252
215,4,39.25,157,48,33,1,2,29,3,2,0.75,2.0,0,157
216,5,47.2,236,62,33,2,2,29,5,1,1.0,1.0,0,236
217,6,49.166666666666664,295,62,33,2,3,29,6,1,1.0,1.5,0,295
218,9,35.0,315,57,18,3,3,29,6,1,0.6666666666666666,1.0,0,315
219,2,40.5,81,43,38,1,1,29,2,1,1.0,1.0,0,81
220,25,47.52,1188,82,28,3,3,29,18,4,0.72,1.0,0,1188
221,1,48.0,48,48,48,1,1,29,1,1,1.0,1.0,0,48
222,7,42.857142857142854,300,62,33,2,2,29,7,3,1.0,1.0,0,300
225,6,37.0,222,52,28,4,4,29,6,1,1.0,1.0,0,222
226,4,44.0,176,57,33,2,2,29,4,2,1.0,1.0,0,176
227,1,52.0,52,52,52,1,1,29,1,1,1.0,1.0,0,52
228,2,38.0,76,43,33,1,1,29,2,2,1.0,1.0,0,76
229,8,55.375,443,82,38,1,1,29,8,1,1.0,1.0,0,443
230,9,49.55555555555556,446,67,33,1,1,29,8,2,0.8888888888888888,1.0,0,446
231,7,37.0,259,52,18,2,3,29,7,2,1.0,1.5,0,259
232,6,45.0,270,62,28,3,3,29,6,4,1.0,1.0,0,270
233,5,34.0,170,38,28,2,2,29,5,2,1.0,1.0,0,170
234,8,40.125,321,50,28,3,3,29,8,2,1.0,1.0,0,321
235,3,34.666666666666664,104,48,23,1,1,29,3,2,1.0,1.0,0,104
236,11,39.18181818181818,431,57,23,3,3,29,9,3,0.8181818181818182,1.0,0,431
237,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
238,4,47.75,191,67,28,3,5,29,4,3,1.0,1.6666666666666667,1,191
239,26,39.92307692307692,1038,57,20,5,5,29,24,3,0.9230769230769231,1.0,1,1038
240,3,46.0,138,52,38,2,3,29,3,2,1.0,1.5,0,138
241,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
242,8,46.375,371,67,20,3,3,29,8,2,1.0,1.0,0,371
243,1,28.0,28,28,28,1,4,29,1,1,1.0,4.0,0,28
244,11,48.63636363636363,535,82,33,4,4,29,10,2,0.9090909090909091,1.0,0,535
245,2,43.0,86,48,38,1,1,29,2,2,1.0,1.0,0,86
246,1,57.0,57,57,57,1,1,29,1,1,1.0,1.0,0,57
247,15,40.666666666666664,610,48,23,2,2,29,15,2,1.0,1.0,0,610
248,9,40.55555555555556,365,57,23,3,3,29,9,4,1.0,1.0,0,365
249,3,36.333333333333336,109,43,28,2,4,29,3,1,1.0,2.0,0,109
250,9,47.77777777777778,430,82,38,1,1,28,7,2,0.7777777777777778,1.0,0,430
251,2,62.0,124,67,57,1,2,29,2,1,1.0,2.0,0,124
252,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
253,16,47.6875,763,82,28,3,3,9,13,3,0.8125,1.0,0,763
254,15,47.2,708,82,28,1,1,29,15,1,1.0,1.0,0,708
255,1,28.0,28,28,28,1,3,29,1,1,1.0,3.0,0,28
256,2,54.5,109,57,52,1,4,29,2,1,1.0,4.0,0,109
257,5,41.0,205,48,28,1,1,24,5,3,1.0,1.0,0,205
258,2,59.5,119,67,52,1,1,24,2,1,1.0,1.0,0,119
261,10,50.0,500,67,28,3,3,29,10,2,1.0,1.0,0,500
262,11,44.0,484,65,28,4,4,29,11,2,1.0,1.0,0,484
263,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
264,9,35.77777777777778,322,48,28,3,3,29,9,1,1.0,1.0,0,322
266,5,39.0,195,43,33,1,1,29,5,2,1.0,1.0,0,195
267,12,41.583333333333336,499,62,33,1,1,29,10,3,0.8333333333333334,1.0,0,499
268,3,36.333333333333336,109,48,23,1,1,29,3,2,1.0,1.0,0,109
269,1,43.0,43,43,43,1,1,29,1,1,1.0,1.0,0,43
270,5,44.8,224,52,43,1,1,29,3,2,0.6,1.0,0,224
271,3,39.666666666666664,119,48,33,1,1,29,3,2,1.0,1.0,0,119
272,1,43.0,43,43,43,1,1,9,1,1,1.0,1.0,0,43
273,16,46.625,746,62,28,2,2,29,13,4,0.8125,1.0,0,746
274,1,82.0,82,82,82,1,1,29,1,1,1.0,1.0,0,82
275,14,45.214285714285715,633,62,28,4,4,29,11,3,0.7857142857142857,1.0,0,633
276,4,41.5,166,72,28,3,4,29,4,2,1.0,1.3333333333333333,0,166
277,20,40.35,807,57,28,4,5,29,20,4,1.0,1.25,1,807
278,14,49.785714285714285,697,82,28,3,3,29,12,2,0.8571428571428571,1.0,0,697
279,18,38.94444444444444,701,57,28,3,3,29,9,3,0.5,1.0,0,701
281,9,50.111111111111114,451,62,38,2,2,29,9,1,1.0,1.0,0,451
282,5,48.6,243,67,38,1,1,29,4,2,0.8,1.0,0,243
283,2,40.5,81,48,33,1,1,29,2,2,1.0,1.0,0,81
285,1,57.0,57,57,57,1,2,29,1,1,1.0,2.0,0,57
286,2,40.5,81,43,38,1,1,29,2,2,1.0,1.0,0,81
287,11,45.81818181818182,504,62,28,4,4,29,10,3,0.9090909090909091,1.0,0,504
288,2,62.0,124,67,57,2,4,29,2,2,1.0,2.0,0,124
289,3,51.0,153,62,43,1,1,29,3,3,1.0,1.0,0,153
290,4,29.25,117,38,23,3,3,29,4,1,1.0,1.0,0,117
291,5,34.0,170,48,23,1,1,29,4,3,0.8,1.0,0,170
292,39,43.1025641025641,1681,62,23,3,3,29,33,3,0.8461538461538461,1.0,0,1681
293,1,55.0,55,55,55,1,3,29,1,1,1.0,3.0,0,55
294,3,46.0,138,52,38,1,1,29,3,2,1.0,1.0,0,138
295,7,31.142857142857142,218,38,20,3,3,29,6,3,0.8571428571428571,1.0,0,218
296,5,38.0,190,43,33,3,3,29,4,2,0.8,1.0,0,190
297,1,48.0,48,48,48,1,1,29,1,1,1.0,1.0,0,48
298,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
299,3,50.666666666666664,152,67,33,2,2,29,3,2,1.0,1.0,0,152
300,1,62.0,62,62,62,1,1,29,1,1,1.0,1.0,0,62
301,8,31.75,254,48,23,2,2,29,8,4,1.0,1.0,0,254
302,2,23.0,46,23,23,1,1,29,1,1,0.5,1.0,0,46
303,1,18.0,18,18,18,1,3,29,1,1,1.0,3.0,0,18
304,6,45.833333333333336,275,67,28,4,4,29,6,2,1.0,1.0,0,275
305,11,44.0,484,62,23,1,1,29,11,3,1.0,1.0,0,484
306,4,41.75,167,43,38,2,2,29,4,1,1.0,1.0,0,167
307,7,42.0,294,62,28,4,4,9,7,3,1.0,1.0,0,294
308,1,33.0,33,33,33,1,1,29,1,1,1.0,1.0,0,33
309,1,38.0,38,38,38,1,2,29,1,1,1.0,2.0,0,38
310,7,52.285714285714285,366,67,38,1,1,29,7,1,1.0,1.0,0,366
311,1,52.0,52,52,52,1,1,29,1,1,1.0,1.0,0,52
312,3,38.0,114,43,33,1,1,46,3,2,1.0,1.0,0,114
313,1,62.0,62,62,62,1,3,29,1,1,1.0,3.0,0,62
314,9,47.44444444444444,427,65,28,3,5,44,9,3,1.0,1.6666666666666667,1,427
316,5,36.6,183,48,26,3,3,29,5,2,1.0,1.0,0,183
317,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
318,1,48.0,48,48,48,1,5,29,1,1,1.0,5.0,1,48
319,2,40.5,81,48,33,1,1,29,2,1,1.0,1.0,0,81
320,7,42.857142857142854,300,67,23,2,2,29,6,4,0.8571428571428571,1.0,0,300
321,23,43.34782608695652,997,62,23,4,4,29,22,4,0.9565217391304348,1.0,0,997
323,1,33.0,33,33,33,1,2,29,1,1,1.0,2.0,0,33
324,6,39.833333333333336,239,62,28,2,3,29,6,2,1.0,1.5,0,239
325,10,43.7,437,62,18,3,3,29,9,3,0.9,1.0,0,437
326,8,42.125,337,57,28,3,3,29,8,4,1.0,1.0,0,337
327,12,39.083333333333336,469,62,23,2,2,29,12,2,1.0,1.0,0,469
328,3,59.0,177,82,33,1,1,29,3,2,1.0,1.0,0,177
329,3,52.0,156,60,48,1,1,29,3,2,1.0,1.0,0,156
330,6,43.5,261,67,23,1,1,29,6,4,1.0,1.0,0,261
331,6,40.333333333333336,242,57,28,3,3,29,6,2,1.0,1.0,0,242
332,11,44.72727272727273,492,72,23,3,3,29,11,2,1.0,1.0,0,492
333,3,65.33333333333333,196,67,62,2,2,29,3,1,1.0,1.0,0,196
334,4,38.25,153,52,20,4,4,29,4,2,1.0,1.0,0,153
335,7,45.57142857142857,319,57,33,2,2,29,7,2,1.0,1.0,0,319
336,6,44.0,264,67,28,3,3,29,6,3,1.0,1.0,0,264
337,7,50.285714285714285,352,62,38,3,3,9,7,2,1.0,1.0,0,352
338,1,52.0,52,52,52,1,1,9,1,1,1.0,1.0,0,52
339,3,57.333333333333336,172,67,43,1,1,29,3,2,1.0,1.0,0,172
340,3,57.333333333333336,172,67,43,1,1,9,3,1,1.0,1.0,0,172
341,11,44.63636363636363,491,72,28,2,5,29,10,2,0.9090909090909091,2.5,1,491
342,28,39.17857142857143,1097,62,23,4,5,29,18,3,0.6428571428571429,1.25,1,1097
343,4,36.75,147,43,28,3,5,29,4,1,1.0,1.6666666666666667,1,147
344,4,52.5,210,72,33,3,4,9,4,2,1.0,1.3333333333333333,0,210
345,7,39.42857142857143,276,48,28,1,1,29,5,2,0.7142857142857143,1.0,0,276
347,3,57.333333333333336,172,72,28,2,3,29,2,2,0.6666666666666666,1.5,0,172
348,8,36.125,289,48,23,3,4,29,8,3,1.0,1.3333333333333333,0,289
349,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
350,3,36.0,108,57,23,3,4,29,3,2,1.0,1.3333333333333333,0,108
351,1,43.0,43,43,43,1,1,44,1,1,1.0,1.0,0,43
352,1,57.0,57,57,57,1,2,29,1,1,1.0,2.0,0,57
353,2,40.5,81,43,38,1,1,44,2,2,1.0,1.0,0,81
354,1,43.0,43,43,43,1,1,44,1,1,1.0,1.0,0,43
355,6,50.333333333333336,302,62,28,1,1,29,6,2,1.0,1.0,0,302
356,3,39.666666666666664,119,43,38,1,1,29,2,2,0.6666666666666666,1.0,0,119
357,4,35.5,142,43,28,2,3,29,4,1,1.0,1.5,0,142
358,5,35.0,175,43,28,1,1,29,5,2,1.0,1.0,0,175
359,1,28.0,28,28,28,1,1,29,1,1,1.0,1.0,0,28
360,18,44.72222222222222,805,72,28,1,1,29,17,3,0.9444444444444444,1.0,0,805
361,1,43.0,43,43,43,1,1,29,1,1,1.0,1.0,0,43
362,2,35.5,71,38,33,1,1,29,2,1,1.0,1.0,0,71
363,6,45.333333333333336,272,82,28,1,1,29,6,2,1.0,1.0,0,272
364,3,42.666666666666664,128,62,33,2,2,29,3,2,1.0,1.0,0,128
365,8,38.5,308,62,28,4,4,29,8,2,1.0,1.0,0,308
366,5,44.6,223,57,28,3,3,29,5,2,1.0,1.0,0,223
367,4,58.5,234,67,43,1,1,29,4,1,1.0,1.0,0,234
368,1,38.0,38,38,38,1,3,29,1,1,1.0,3.0,0,38
369,4,46.0,184,60,38,2,2,29,3,2,0.75,1.0,0,184
370,8,34.25,274,43,28,3,4,29,7,1,0.875,1.3333333333333333,0,274
371,5,41.8,209,67,23,2,2,29,5,2,1.0,1.0,0,209
372,5,57.2,286,67,38,2,2,29,5,1,1.0,1.0,0,286
373,1,28.0,28,28,28,1,2,29,1,1,1.0,2.0,0,28
374,1,57.0,57,57,57,1,2,29,1,1,1.0,2.0,0,57
375,10,48.6,486,67,33,4,4,29,9,4,0.9,1.0,0,486
376,3,41.333333333333336,124,43,38,1,1,29,3,2,1.0,1.0,0,124
377,4,35.5,142,43,23,1,1,29,4,3,1.0,1.0,0,142
378,1,38.0,38,38,38,1,1,29,1,1,1.0,1.0,0,38
379,1,38.0,38,38,38,1,1,15,1,1,1.0,1.0,0,38
380,7,42.714285714285715,299,62,28,1,1,9,7,2,1.0,1.0,0,299
381,7,39.57142857142857,277,57,20,3,3,29,7,3,1.0,1.0,0,277
